dataset,distance,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,0.0,0.04853069398882791,0.017353083133008013,16,0.004338270783252003
strain_yWT04a,1.0,0.04870644510865676,0.018235740915292915,16,0.004558935228823229
strain_yWT04a,2.0,0.04790387048405813,0.017848870243194054,16,0.004462217560798514
strain_yWT04a,3.0,0.04782770766991543,0.017523218208746028,16,0.004380804552186507
strain_yWT04a,4.0,0.048626424184425907,0.01772505793181884,16,0.00443126448295471
strain_yWT04a,5.0,0.04788142904932055,0.01742226647551788,16,0.00435556661887947
strain_yWT04a,6.0,0.0477110039711228,0.018292913171954053,16,0.004573228292988513
strain_yWT04a,7.0,0.04788240659795775,0.018703082331775502,16,0.0046757705829438756
strain_yWT04a,8.0,0.048025885976372376,0.01796590761730581,16,0.004491476904326453
strain_yWT04a,9.0,0.04877853227348814,0.018651864190925044,16,0.004662966047731261
strain_yWT04a,10.0,0.048237116089101376,0.018803136711591537,16,0.004700784177897884
strain_yWT04a,11.0,0.04890138366085776,0.018582253232370026,16,0.0046455633080925065
strain_yWT04a,12.0,0.048269559769197265,0.01884900470337774,16,0.004712251175844435
strain_yWT04a,13.0,0.04720647453670977,0.017736043837473892,16,0.004434010959368473
strain_yWT04a,14.0,0.049157211178502254,0.017726694673673077,16,0.004431673668418269
strain_yWT04a,15.0,0.048766693840435034,0.017617538467852727,16,0.004404384616963182
strain_yWT04a,16.0,0.0479002708826169,0.01746161137716605,16,0.004365402844291513
strain_yWT04a,17.0,0.0482767910611484,0.01834792081248519,16,0.004586980203121298
strain_yWT04a,18.0,0.04789558703328844,0.016892658110993837,16,0.004223164527748459
strain_yWT04a,19.0,0.04791909181409207,0.018041691288057042,16,0.0045104228220142605
strain_yWT04a,20.0,0.04860242761107657,0.019154656725127474,16,0.004788664181281869
strain_yWT04a,21.0,0.04821053542014587,0.017852187073648607,16,0.004463046768412152
strain_yWT04a,22.0,0.04882847730856575,0.017293790036343012,16,0.004323447509085753
strain_yWT04a,23.0,0.04773892290383225,0.017535186223538526,16,0.004383796555884631
strain_yWT04a,24.0,0.04805271990863167,0.018156893559450275,16,0.004539223389862569
strain_yWT04a,25.0,0.04760966374880096,0.016739731887431917,16,0.004184932971857979
strain_yWT04a,26.0,0.04798788694955222,0.01814095235155506,16,0.004535238087888765
strain_yWT04a,27.0,0.047102321251984255,0.017992109796031577,16,0.004498027449007894
strain_yWT04a,28.0,0.047632261049176707,0.017948038789975657,16,0.004487009697493914
strain_yWT04a,29.0,0.04828558065872399,0.018315804741567184,16,0.004578951185391796
strain_yWT04a,30.0,0.04848268830319545,0.017138998932930645,16,0.004284749733232661
strain_yWT04a,31.0,0.04957281091547805,0.01835080323978241,16,0.004587700809945603
strain_yWT04a,32.0,0.04895077222502251,0.01836258483174224,16,0.00459064620793556
strain_yWT04a,33.0,0.04896071758563397,0.017525309637547677,16,0.004381327409386919
strain_yWT04a,34.0,0.050291024500591475,0.017156058780322267,16,0.004289014695080567
strain_yWT04a,35.0,0.05003572649825662,0.018459562647381033,16,0.004614890661845258
strain_yWT04a,36.0,0.04936438042190943,0.018255718094381316,16,0.004563929523595329
strain_yWT04a,37.0,0.05143007856875214,0.019531860266092948,16,0.004882965066523237
strain_yWT04a,38.0,0.05136329869888014,0.018845761732138464,16,0.004711440433034616
